Features,importance
ECFP4.73,0.004239693652222342
ECFP4.64,0.004224673680016488
ECFP4.89,0.004218808458729145
Bioavailability_2,0.0041355718179057945
ECFP4.36,0.004093723182411242
ECFP4.65,0.00406529639853634
ECFP4.37,0.00404479863754976
ECFP4.53,0.003981503991776683
ECFP4.69,0.003944647608604693
ECFP4.76,0.003929576689569488
Funder_Type_3,0.003900709823199544
ECFP4.66,0.0038993822973069203
ECFP4.56,0.0038817338103422413
ECFP4.79,0.0038809542875626736
ECFP4.119,0.003870219707577899
ECFP4.31,0.0038696943575226212
ECFP4.104,0.003859080696719754
Gender_code_0,0.003858349966038102
ECFP4.87,0.003849996222837816
ECFP4.46,0.0038279414756704423
CPC_code_4,0.0037715216194452515
ECFP4.3,0.0037516359695824574
ECFP4.34,0.00374867827489465
ECFP4.16,0.00374727496016314
ECFP4.4,0.003737087121677612
Funder_Type_4,0.0037357061623388005
ECFP4.17,0.0037262298676280937
ECFP4.71,0.0037206745746990277
ECFP4.72,0.003709643996969514
ECFP4.118,0.0036696049835485073
ECFP4.28,0.0036651893827711196
ECFP4.60,0.003658967546196341
ECFP4.27,0.0036578856844098604
ECFP4.82,0.0036555603953126754
ECFP4.124,0.003653959713544008
ECFP4.99,0.00364903514719241
ECFP4.128,0.003649034712431093
ECFP4.39,0.003647499584462163
ECFP4.59,0.0036435463773874482
Bioavailability_1,0.0036252937858928546
ECFP4.62,0.003603134695112165
ECFP4.85,0.0035986048084697786
ECFP4.93,0.003592021918573559
ECFP4.111,0.003584686724479779
ECFP4.70,0.003582435160161789
ECFP4.114,0.0035795119474189767
ECFP4.54,0.0035758177860841806
ECFP4.109,0.0035719047860133055
ECFP4.112,0.003554807934675657
ECFP4.41,0.0035497342264581553
ECFP4.30,0.00354885018876058
ECFP4.115,0.0035402347629177513
ECFP4.38,0.0034879798354762264
ECFP4.97,0.0034824100780462713
ECFP4.57,0.0034789377962548174
ECFP4.102,0.0034621715010885196
ECFP4.51,0.003450700672771306
ECFP4.121,0.003449518914756285
ECFP4.58,0.0034036024362814545
ECFP4.8,0.0033974352148412523
ECFP4.110,0.003394030327742344
ECFP4.47,0.0033278849932774596
ECFP4.61,0.003296429960462101
Age_code_5,0.003295138056673797
ECFP4.63,0.003269336647608576
Allocation_Type_0,0.0032672024196949935
ECFP4.7,0.003250903318673526
ECFP4.42,0.0032444699866742564
ECFP4.81,0.0032444207689583896
ECFP4.25,0.0032048924331047786
ECFP4.29,0.0031908638962316422
ECFP4.88,0.003190055796800629
ECFP4.107,0.0031660677522987596
ECFP4.86,0.00316396258309789
ECFP4.83,0.00316257486857458
ECFP4.92,0.0031568603462502638
ECFP4.120,0.003149721519509682
ECFP4.77,0.003130180155533794
ECFP4.126,0.0031147596947337024
ECFP4.15,0.003051558547438912
ECFP4.12,0.0030101397824582503
ECFP4.116,0.0029791362850710244
ECFP4.101,0.0029758470721080836
ECFP4.68,0.0029316323957344088
ECFP4.105,0.0029267676526222226
ECFP4.10,0.0029233408723898786
ECFP4.113,0.00287948463872494
ECFP4.52,0.0028199236312217257
ECFP4.96,0.002798080893015377
ECFP4.26,0.002794373102687577
ECFP4.11,0.002791289029860834
ECFP4.84,0.0027038542612175275
Gender_code_1,0.0026705034853943214
Allocation_Type_2,0.002670259705705236
ECFP4.23,0.002633861542797816
PCT_code_0,0.0025977373794975
Funder_Type_0,0.002588905588498519
ECFP4.24,0.002569059144312052
ECFP4.90,0.002551075132984841
ECFP4.43,0.0025011761886601226
ECFP4.125,0.002494985051387073
Gender_code_3,0.002476353107062919
ECFP4.44,0.002443548437166495
ECFP4.98,0.0023267367444961703
ECFP4.21,0.0021968409688518232
ECFP4.22,0.002134067104335432
ECFP4.40,0.0021324589870800456
ECFP4.94,0.0020917349494287167
ECFP4.127,0.0020710279124949863
CPC_code_2,0.0019320484046900929
Age_code_0,0.0018131457382395636
CPC_code_3,0.0016966630437951586
Country_4,0.0016496391716343606
Bioavailability_0,0.0015136820894632893
CPC_code_0,0.0014088450195887097
Age_code_3,0.0013715529106720927
Intervention_Model_2,0.0010205395709860692
Country_5,0.0008437028243278811
CPC_code_1,0.0007103692450934231
Gender_code_2,0.0005868686081176321
Age_code_2,0.0005858054250272699
Intervention_Model_4,0.00023889016189375704
Country_3,0.0
